,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
1100,528326030,Two_Story_1946_and_Newer,Residential_Low_Density,84,14260,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,490,1145,GasA,Excellent,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typ,1,Typical,Attchd,2000.0,RFn,3,836,Typical,Typical,Paved,192,84,0,0,0,0,No_Pool,No_Fence,None,0,12,2008,WD ,Normal,-93.653324,42.055748,250000
1101,528326110,Two_Story_1946_and_Newer,Residential_Low_Density,0,11000,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Excellent,Average,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295,Good,Typical,PConc,Excellent,Typical,Mn,Unf,7,Unf,0,1519,1519,GasA,Excellent,Y,SBrkr,1533,639,0,2172,0,0,2,1,4,1,Excellent,8,Typ,1,Typical,BuiltIn,2000.0,RFn,3,687,Typical,Typical,Paved,162,153,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,-93.650932,42.055777,291000
1103,528354100,Two_Story_1946_and_Newer,Residential_Low_Density,97,10990,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Good,Average,1996,1997,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,213,1064,GasA,Excellent,Y,SBrkr,1064,1061,0,2125,1,0,2,1,4,1,Good,12,Typ,2,Typical,Attchd,1996.0,RFn,2,576,Typical,Typical,Paved,168,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,-93.655279,42.052272,279500
1106,528365060,Two_Story_1946_and_Newer,Residential_Low_Density,96,10542,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Good,Average,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651,Good,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,138,1311,GasA,Excellent,Y,SBrkr,1325,1093,0,2418,1,0,2,1,3,1,Good,9,Typ,1,Typical,Attchd,1993.0,RFn,3,983,Typical,Typical,Paved,250,154,216,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.65579,42.049501,341000
1107,528365080,Two_Story_1946_and_Newer,Residential_Low_Density,91,10010,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Good,Average,1993,1994,Hip,WdShake,VinylSd,VinylSd,BrkFace,320,Good,Typical,PConc,Good,Typical,Av,BLQ,2,GLQ,852,0,1080,GasA,Excellent,Y,SBrkr,1108,1089,0,2197,1,0,2,1,4,1,Good,9,Typ,1,Good,Attchd,1993.0,Fin,3,783,Typical,Typical,Paved,385,99,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.653908,42.049696,287500
1108,528387050,Two_Story_1946_and_Newer,Residential_Low_Density,81,10944,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge,Norm,Norm,OneFam,Two_Story,Good,Average,1994,1994,Gable,CompShg,VinylSd,VinylSd,BrkFace,448,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,223,1223,GasA,Excellent,Y,SBrkr,1223,904,0,2127,1,0,2,1,3,1,Good,5,Typ,2,Typical,Attchd,1994.0,RFn,2,525,Typical,Typical,Paved,171,132,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.651801,42.050692,271000
1109,528390020,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,91,14303,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Northridge,Norm,Norm,OneFam,One_Story,Very_Good,Average,1994,1994,Hip,CompShg,HdBoard,HdBoard,BrkFace,554,Good,Typical,PConc,Good,Typical,Gd,GLQ,3,Unf,0,672,1986,GasA,Excellent,Y,SBrkr,1987,0,0,1987,1,0,2,0,2,1,Good,7,Typ,1,Typical,Attchd,1994.0,Fin,2,691,Typical,Typical,Paved,262,36,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.650996,42.049484,301500
1110,528427010,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,92,11932,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Somerset,Feedr,Norm,OneFam,One_Story,Very_Good,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,186,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1580,1580,GasA,Excellent,Y,SBrkr,1580,0,0,1580,0,0,2,0,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2008.0,RFn,3,830,Typical,Typical,Paved,0,24,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,ConLD,Partial,-93.644107,42.054236,235128
1111,528427070,Two_Story_1946_and_Newer,Residential_Low_Density,86,14598,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Somerset,Feedr,Norm,OneFam,Two_Story,Above_Average,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,74,Good,Typical,PConc,Good,Typical,Mn,Unf,7,Unf,0,894,894,GasA,Excellent,Y,SBrkr,894,1039,0,1933,0,0,2,1,4,1,Good,9,Typ,1,Good,BuiltIn,2007.0,Fin,3,668,Typical,Typical,Paved,100,18,0,0,0,0,No_Pool,No_Fence,None,0,1,2008,WD ,Normal,-93.644145,42.055157,214000
1113,528429070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,74,13253,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Somerset,RRAn,Norm,OneFam,One_Story,Good,Average,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,128,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,482,1578,GasA,Good,Y,SBrkr,1578,0,0,1578,1,0,2,0,3,1,Good,7,Typ,1,Good,Attchd,2006.0,Unf,3,642,Typical,Typical,Paved,0,26,0,0,0,0,No_Pool,No_Fence,None,0,5,2008,WD ,Normal,-93.642108,42.054415,240000
1115,528431060,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,10206,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Very_Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,468,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,1530,1563,GasA,Excellent,Y,SBrkr,1563,0,0,1563,0,0,2,0,3,1,Good,6,Typ,1,Good,Attchd,2007.0,RFn,3,758,Typical,Typical,Paved,144,99,0,0,0,0,No_Pool,No_Fence,None,0,10,2008,WD ,Normal,-93.642376,42.054306,245000
1116,528431080,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,91,12274,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Good,Average,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,256,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1417,1417,GasA,Excellent,Y,SBrkr,1428,0,0,1428,0,0,2,0,3,1,Excellent,6,Typ,0,No_Fireplace,Attchd,2008.0,RFn,2,554,Typical,Typical,Paved,0,60,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,New,Partial,-93.643976,42.054319,227680
1117,528431120,Two_Story_1946_and_Newer,Residential_Low_Density,73,9801,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,156,Good,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,1341,1341,GasA,Excellent,Y,SBrkr,1341,520,0,1861,0,0,3,0,3,1,Good,7,Typ,1,Good,BuiltIn,2007.0,RFn,3,851,Typical,Typical,Paved,144,60,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.64403,42.055517,257000
1118,528435020,Two_Story_1946_and_Newer,Residential_Low_Density,80,9428,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,310,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,226,955,GasA,Excellent,Y,SBrkr,955,919,0,1874,1,0,2,1,3,1,Good,8,Typ,1,Good,Attchd,2007.0,Fin,3,880,Typical,Typical,Paved,168,108,0,0,0,0,No_Pool,No_Fence,None,0,2,2008,New,Partial,-93.644024,42.054227,297900
1119,528439010,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,87,10037,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Somerset,Feedr,Norm,OneFam,One_Story,Very_Good,Average,2006,2007,Hip,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,794,1460,GasA,Excellent,Y,SBrkr,1460,0,0,1460,0,0,2,0,3,1,Good,6,Typ,1,Good,Attchd,2006.0,Fin,2,480,Typical,Typical,Paved,0,20,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.643788,42.053183,247000
1121,528458050,One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,72,8640,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Good,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Excellent,Typical,No,Unf,7,Unf,0,1372,1372,GasA,Excellent,Y,SBrkr,1372,0,0,1372,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2008.0,Fin,2,529,Typical,Typical,Paved,0,140,0,0,0,0,No_Pool,No_Fence,None,0,5,2008,New,Partial,-93.650358,42.05165,250580
1122,528462040,One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,95,11639,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Good,Average,2007,2008,Gable,CompShg,CemntBd,CmentBd,None,0,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1428,1428,GasA,Excellent,Y,SBrkr,1428,0,0,1428,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2007.0,Fin,2,480,Typical,Typical,Paved,0,120,0,0,0,0,No_Pool,No_Fence,None,0,12,2008,New,Partial,-93.648255,42.050307,182000
1123,528477040,Two_Story_1946_and_Newer,Floating_Village_Residential,75,9803,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,466,866,GasA,Good,Y,SBrkr,866,902,0,1768,0,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2005.0,RFn,2,603,Typical,Typical,Paved,0,108,0,0,0,0,No_Pool,No_Fence,None,0,2,2008,WD ,Normal,-93.643836,42.052278,226700
1124,528478030,Two_Story_1946_and_Newer,Floating_Village_Residential,75,9375,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,768,Good,Typical,PConc,Excellent,Typical,No,Unf,7,Unf,0,1053,1053,GasA,Excellent,Y,SBrkr,1053,939,0,1992,0,0,2,1,3,1,Good,9,Typ,1,Good,Attchd,2003.0,RFn,2,648,Typical,Typical,Paved,140,45,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,-93.64119,42.052456,250000
1125,528478040,Two_Story_1946_and_Newer,Floating_Village_Residential,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Good,Average,2005,2005,Gable,CompShg,CemntBd,CmentBd,None,0,Good,Typical,PConc,Good,Typical,No,Unf,7,Unf,0,1026,1026,GasA,Excellent,Y,SBrkr,1026,932,0,1958,0,0,2,1,3,1,Good,9,Typ,1,Good,Attchd,2005.0,Fin,3,936,Typical,Typical,Paved,154,210,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.640924,42.052275,250000
1126,528480060,Two_Story_1946_and_Newer,Floating_Village_Residential,85,10800,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Very_Good,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,100,Good,Typical,PConc,Excellent,Typical,No,GLQ,3,Unf,0,245,1034,GasA,Excellent,Y,SBrkr,1050,1028,0,2078,1,0,2,1,3,1,Excellent,8,Typ,1,Good,Attchd,2008.0,Fin,3,836,Typical,Typical,Paved,0,102,0,0,0,0,No_Pool,No_Fence,None,0,4,2008,New,Partial,-93.6430423,42.0520487,339750
1129,528488140,One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,62,7500,Pave,Paved,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Good,Average,2007,2008,Gable,CompShg,CemntBd,CmentBd,Stone,210,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,316,1218,GasA,Excellent,Y,SBrkr,1218,0,0,1218,1,0,2,0,2,1,Good,6,Typ,0,No_Fireplace,Attchd,2008.0,Fin,2,462,Typical,Typical,Paved,168,168,0,0,0,0,No_Pool,No_Fence,None,0,4,2008,New,Partial,-93.644018,42.051224,230348
1130,528490080,Two_Story_1946_and_Newer,Floating_Village_Residential,64,8791,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Above_Average,Average,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,Rec,6,Unf,0,361,864,GasA,Excellent,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2003.0,RFn,2,673,Typical,Typical,Paved,216,56,0,0,0,0,No_Pool,No_Fence,None,0,5,2008,WD ,Normal,-93.639662,42.050899,207500
1131,531363060,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,63,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,One_Story,Good,Average,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,120,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,400,1080,GasA,Excellent,Y,SBrkr,1080,0,0,1080,1,0,1,0,3,1,Good,6,Typ,0,No_Fireplace,No_Garage,,No_Garage,0,0,No_Garage,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2008,WD ,Normal,-93.692497,42.037836,141000
1132,531371070,Two_Story_1946_and_Newer,Residential_Low_Density,68,10110,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Above_Average,Average,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Mn,GLQ,3,ALQ,555,200,835,GasA,Excellent,Y,SBrkr,835,861,0,1696,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2003.0,RFn,2,542,Typical,Typical,Paved,143,66,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.692431,42.035271,188000
1133,531373060,Two_Story_1946_and_Newer,Residential_Low_Density,67,12774,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Good,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,95,Good,Typical,PConc,Good,Typical,Av,Unf,7,Unf,0,835,835,GasA,Excellent,Y,SBrkr,835,828,0,1663,0,0,2,1,3,1,Good,8,Typ,0,No_Fireplace,Attchd,2003.0,RFn,2,478,Typical,Typical,Paved,168,68,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.691695,42.035132,192500
1134,531375050,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,63,13072,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,RRAe,Norm,OneFam,One_Story,Above_Average,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,126,Typical,Typical,PConc,Good,Good,No,GLQ,3,Unf,0,1095,1175,GasA,Excellent,Y,SBrkr,1175,0,0,1175,1,0,1,0,3,1,Good,6,Typ,0,No_Fireplace,No_Garage,,No_Garage,0,0,No_Garage,No_Garage,Paved,0,90,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,-93.691836,42.037918,146000
1136,531375120,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,66,13695,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,RRAe,Norm,OneFam,One_Story,Above_Average,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,300,1114,GasA,Excellent,Y,SBrkr,1114,0,0,1114,1,0,1,0,3,1,Good,6,Typ,0,No_Fireplace,Detchd,2004.0,Unf,2,576,Typical,Typical,Paved,0,78,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.690364,42.03805,155000
1138,531376070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,9260,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Sawyer_West,Norm,Norm,OneFam,One_Story,Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,Mn,Unf,7,Unf,0,1162,1162,GasA,Excellent,Y,SBrkr,1162,0,0,1162,0,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2007.0,Fin,2,483,Typical,Typical,Paved,0,32,0,0,0,0,No_Pool,No_Fence,None,0,3,2008,WD ,Normal,-93.69124,42.037258,170000
1139,531382090,Two_Story_1946_and_Newer,Residential_Low_Density,65,8453,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Above_Average,Average,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,38,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,392,754,GasA,Excellent,Y,SBrkr,754,855,0,1609,0,0,2,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1995.0,RFn,2,525,Typical,Typical,Paved,0,70,0,0,0,0,No_Pool,No_Fence,None,0,4,2008,WD ,Normal,-93.689769,42.035875,182000
1142,531384030,Two_Story_1946_and_Newer,Residential_Low_Density,43,14565,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,CulDSac,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Good,Average,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,145,Good,Typical,PConc,Good,Typical,Av,GLQ,3,Unf,0,295,832,GasA,Excellent,Y,SBrkr,832,825,0,1657,0,0,2,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1994.0,RFn,2,483,Typical,Typical,Paved,144,74,0,0,0,0,No_Pool,No_Fence,Shed,2000,11,2008,WD ,Normal,-93.689801,42.034988,189000
1143,531385060,Two_Story_1946_and_Newer,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Above_Average,Average,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,355,827,GasA,Excellent,Y,SBrkr,827,850,0,1677,1,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,2001.0,RFn,2,627,Typical,Typical,Paved,0,68,0,0,0,0,No_Pool,No_Fence,None,0,9,2008,WD ,Normal,-93.688803,42.036089,190500
1144,531450030,Two_Story_1946_and_Newer,Residential_Low_Density,75,8285,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Good,Average,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,439,836,GasA,Good,Y,SBrkr,844,893,0,1737,0,1,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,1992.0,Fin,2,506,Typical,Typical,Paved,192,85,0,0,0,0,No_Pool,No_Fence,None,0,5,2008,WD ,Normal,-93.687819,42.034535,175000
1145,531450090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,7153,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,One_Story,Above_Average,Average,1991,1991,Gable,CompShg,HdBoard,HdBoard,BrkFace,88,Typical,Typical,CBlock,Good,Typical,No,GLQ,3,Unf,0,78,1278,GasA,Good,Y,SBrkr,1294,0,0,1294,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1991.0,RFn,2,496,Typical,Typical,Paved,112,51,0,0,0,0,No_Pool,Good_Wood,None,0,6,2008,WD ,Normal,-93.687831,42.035666,179200
1146,531450170,Two_Story_1946_and_Newer,Residential_Low_Density,76,9291,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Sawyer_West,RRNe,Norm,OneFam,Two_Story,Above_Average,Average,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,120,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0,406,832,GasA,Excellent,Y,SBrkr,832,878,0,1710,0,0,2,1,3,1,Good,7,Typ,0,No_Fireplace,Attchd,1993.0,RFn,2,506,Typical,Typical,Paved,144,70,0,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,-93.687847,42.036839,187000
1147,531451020,One_Story_PUD_1946_and_Newer,Residential_Low_Density,50,8012,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,TwnhsE,One_Story,Above_Average,Average,1993,1994,Gable,CompShg,Plywood,Plywood,None,0,Good,Typical,PConc,Good,Typical,No,LwQ,4,GLQ,841,598,1604,GasA,Excellent,Y,SBrkr,1617,0,0,1617,1,0,2,0,2,1,Good,5,Typ,1,Fair,Attchd,1993.0,RFn,2,533,Typical,Typical,Paved,0,69,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.686428,42.036501,193000
1149,532351050,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,9100,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,OneFam,One_Story,Average,Average,1963,1963,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,PConc,Typical,Good,No,BLQ,2,ALQ,799,132,984,GasA,Typical,Y,SBrkr,984,0,0,984,1,0,1,0,3,1,Typical,5,Typ,1,Typical,Attchd,1963.0,RFn,1,384,Typical,Typical,Paved,145,56,0,0,0,0,No_Pool,Minimum_Privacy,Shed,400,8,2008,WD ,Normal,-93.674093,42.036039,128000
1150,532353050,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12968,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,One_Story,Average,Above_Average,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,175,912,GasA,Typical,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,Typical,4,Typ,0,No_Fireplace,Detchd,1962.0,Unf,1,352,Typical,Typical,Paved,140,0,0,0,176,0,No_Pool,No_Fence,None,0,9,2008,WD ,Normal,-93.675743,42.035179,144000
1151,532354150,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,8100,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,OneFam,One_Story,Average,Very_Good,1961,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Good,CBlock,Typical,Typical,No,ALQ,1,Unf,0,100,864,GasA,Excellent,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,Good,5,Typ,1,Typical,Detchd,1962.0,Unf,1,420,Typical,Typical,Paved,132,0,0,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,-93.673965,42.034614,135000
1152,532376170,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,TwoFmCon,One_Story,Average,Average,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,CBlock,Typical,Fair,Mn,ALQ,1,Unf,0,0,890,GasA,Good,N,SBrkr,890,0,0,890,1,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,1970.0,Unf,1,308,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2008,WD ,Normal,-93.670997,42.03569,115000
1153,532377020,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,6360,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,One_Story,Average,Average,1963,1963,Hip,CompShg,Wd Sdng,HdBoard,None,0,Typical,Typical,CBlock,Good,Good,No,ALQ,1,Unf,0,375,864,GasA,Typical,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,1963.0,Unf,1,276,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,650,1,2008,COD,Abnorml,-93.672503,42.035703,119916
